stop_id,stop_name,stop_lat,stop_lon
i-o637,Ciglenik,45.3341361865,17.9170585677
i-o658,Daruvar,45.5888556511,17.2264113901
i-o1001,Nugla,45.4122949321,14.0243499348
i-o992,Šijana,44.8884825226,13.8660852887
i-o720,Kupljenovo,45.9328378222,15.8161691352
i-o793,Karlovac,45.500120524,15.5449150841
i-o480,Višnjevac,45.5614222239,18.6198483365
i-o473,Bizovac,45.5871337927,18.4530093809
i-o959,Kaštel Kambelovac,43.5554943002,16.3857133941
i-o579,Virovitica,45.8251167678,17.3985939595
i-o397,Ilača,45.1734239076,19.0896647126
i-o645,Novoselci,45.3238565949,17.7797389751
i-o636,Latinovac,45.3369676882,17.9567504902
i-o958,Donji Dolac,43.6517843175,16.1266359708
i-o578,Suhopolje,45.7940430278,17.4868844257
i-o602,Gradec,45.914537,16.485064
i-o408,Vođinci,45.2696813929,18.6137668509
i-o735,Mađarevo,46.1695575562,16.3098357194
i-o494,Cerovljani,45.2226027374,16.772983308
i-o991,Pula,44.8797722933,13.8470969327
i-o495,Sunja,45.355506806,16.5504937205
i-o734,Podrute,46.1486641229,16.2626571277
i-o984,Kanfanar,45.1171465397,13.8367383224
i-o892,Perušić,44.6480392155,15.3887981635
i-o987,Čabrunići,45.041567213,13.8659781387
i-o517,Maksimir,45.8140787699,16.023745024
i-o599,Vrbovec,45.8736124604,16.4103867517
i-o538,Prečec stajalište,45.7597304066,16.3506222303
i-o871,Opatija-Matulji,45.3645935927,14.3210136895
i-o993,Krajcar Brijeg,45.160054846,13.862619562
i-o846,Zalesina,45.3980282531,14.8577481373
i-o648,Ratkovica,45.2305499322,17.7314692069
i-o543,Staro Petrovo Selo,45.222117259,17.5259230987
i-o564,Slavonski Brod,45.1636245438,18.0111812712
i-o1030,Đeletovci stajalište,45.1941680177,19.0186293247
i-o965,Split Predgrađe,43.5221211067,16.4552617291
i-o603,Koprivnica,46.1654838664,16.8168149566
i-o489,Hrvatska Dubica,45.2216705276,16.8061753082
i-o561,Garčin,45.1734844312,18.1859733697
i-o584,Kloštar,45.9814445778,17.1392721981
i-o546,Dragalić,45.2525655745,17.2882176683
i-o499,Hrastovac,45.3114520975,16.5465365722
i-o539,Ostrna,45.7941134492,16.2711154023
i-o872,Krnjevo,45.33832,14.39976
i-o655,Maslenjača,45.6425249782,17.2960453013
i-o688,Slatina,45.7055719172,17.7062646458
i-o439,Vukovar,45.3624196834,18.9868485492
i-o482,Frigis - Osijek,45.5584467759,18.635722211
i-o721,Luka,45.9536898809,15.8211034174
i-o854,Plase,45.2834653853,14.6291002186
i-o873,Oštarije-Ravnice,45.2187980044,15.2774303173
i-o596,Križevci,46.0062652062,16.5434616759
i-o525,Lipovljani,45.3867794884,16.8823781469
i-o481,Višnjevac IPK,45.5663694476,18.6066081534
i-o443,Markušica-Antin,45.3813557798,18.7336382905
i-o843,Žrnovac,45.449977,14.937467
i-o941,Sedramić,43.7952201129,16.1587879524
i-o696,Kustošija,45.8106281373,15.9268870664
i-o536,Deanovec,45.6894670459,16.4599625271
i-o476,Koška,45.5415174467,18.2953762328
i-o956,Solin,43.5371670288,16.4709656749
i-o665,Dobrovac,45.4186320448,17.1259417219
i-o576,Buzin,45.7434100911,15.9984317731
i-o457,Čeminac,45.685868343,18.6553501211
i-o837,Ogulinski Hreljin,45.2960355035,15.1781838115
i-o467,Viškovci,45.3463861382,18.4265249782
i-o435,Cerna,45.1942316418,18.6991043489
i-o982,Sveti Petar u šumi,45.1850864141,13.8672206179
i-o894,Gospić,44.5361701871,15.3935933752
i-o622,Grginac Novi,45.9138711943,16.9083714145
i-o803,Kukača,45.2340421079,15.3333368349
i-o667,Brezine-Bujavica,45.4447974841,17.0342245405
i-o659,Bijela,45.57481,17.26075
i-o412,Vinkovci,45.300398403,18.8028085306
i-o475,Normanci,45.5573315563,18.3664905562
i-o955,Kaštel Sućurac,43.5489192081,16.4305239192
i-o589,Bregi,46.1266952633,16.8919901575
i-o723,Veliko Trgovišće,45.994659345,15.8468804468
i-o474,Cret,45.5735933595,18.409764217
i-o646,Pleternica,45.2867976163,17.8098557406
i-o635,Čaglin,45.3483831251,17.9900422085
i-o761,Kuljevčica,46.2280609659,16.0935196057
i-o903,Gračac,44.3003606464,15.8221481828
i-o399,Vinkovački Banovci,45.185788958,19.0472762987
i-o661,Badljevina,45.5029328742,17.2084549359
i-o986,Savićenta,45.0658221069,13.8587409582
i-o697,Gajnice,45.8135855446,15.8728285771
i-o479,Jelisavac,45.523392332,18.1548170924
i-o857,Škrljevo,45.3245358259,14.5390171732
i-o420,Dalj,45.5004930351,18.9672473444
i-o638,Zarilac,45.334311966,17.8764941142
i-o967,Ripište,43.669615091,16.0517918542
i-o526,Banova Jaruga,45.4457145263,16.8761823035
i-o398,Šidski Banovci,45.1800512537,19.0669548483
i-o590,Mučna Reka,46.1230936903,16.7604719379
i-o767,Čakovec-Buzovec,46.3837975075,16.4458545283
i-o414,Nuštar Stajalište,45.3363670811,18.8413317129
i-o942,Planjane,43.766793792,16.1835007209
i-o691,Cabuna,45.7581311026,17.5813823354
i-o396,Tovarnik,45.1554771736,19.1485553951
i-o978,Cerovlje,45.2765883348,14.0138066101
i-o567,Stupno,45.5022182215,16.3320122974
i-o471,Josipovac,45.5741580826,18.5900606196
i-o788,Domagović,45.6332623281,15.632589488
i-o529,Repušnica,45.4891840746,16.729116774
i-o445,Ernestinovo,45.4451009529,18.6676181071
i-o845,Kupjak,45.4001459223,14.8904886963
i-o883,Vrhovine,44.8489088295,15.4270664727
i-o530,Moslavačka Gračenica,45.5140189054,16.689202529
i-o690,Podravska Bistrica,45.7427199368,17.608969617
i-o989,Vodnjan,44.9667073055,13.8560733427
i-o587,Virje,46.0685571682,17.0044631744
i-o743,Stubičke Toplice,45.9749009072,15.9414216546
i-o449,Sarvaš,45.52083517,18.834368494
i-o535,Širinec,45.6713886394,16.490881058
i-o555,Oriovac,45.1612629492,17.7536739114
i-o532,Popovača,45.5592216191,16.6235216888
i-o770,Donji Kraljevec,46.3678614875,16.6451042879
i-o840,Vrbovsko,45.3726775384,15.0714847258
i-o497,Blinjski Kut,45.4157621442,16.4576623609
i-o669,Međurić,45.445477094,16.9111386127
i-o795,Duga Resa,45.4489564881,15.4985853769
i-o545,Nova Gradiška,45.2533584422,17.3792715066
i-o434,Andrijaševci,45.2300143755,18.7305206475
i-o641,Požega,45.3375042221,17.683260824
i-o737,Krušljevec,46.2249373302,16.3214623396
i-o502,Hrvatska Kostajnica,45.2353354722,16.5274294214
i-o945,Koprno,43.6898050549,16.1484921749
i-o686,Mikleuš,45.6167919415,17.8122461509
i-o572,Mraclin,45.6687558623,16.102145008
i-o472,Samatovci,45.5907846148,18.5025741387
i-o705,Sutla,45.8861215968,15.6950718844
i-o485,Osijek,45.5527370155,18.6834082547
i-o541,Novska,45.3268875768,16.9767282712
i-o839,Gomirje,45.342814329,15.1281227439
i-o458,Beli Manastir,45.7656755942,18.5961379164
i-o670,Potočani-Katinac,45.6501047754,17.3930592626
i-o623,Veliko Trojstvo,45.9321537468,16.9249901629
i-o748,Velika Ves,46.1150378711,15.8876965341
i-o704,Laduč,45.878250513,15.7203497269
i-o573,Velika Gorica,45.7085965002,16.0469387306
i-o484,Vodovod,45.5523506011,18.6681700751
i-o503,Volinja,45.2024132147,16.4861284609
i-o681,Velimirovac,45.5125347989,18.0950524521
i-o833,Kamanje,45.6453285875,15.4084391475
i-o786,Desinec,45.6730280576,15.7088712224
i-o671,Škodinovac,45.6348802687,17.3171024326
i-o542,Vrbova,45.2096733711,17.5831319872
i-o468,Đakovo,45.3136468325,18.421791942
i-o943,Unešić,43.7414823347,16.1814945967
i-o771,Donji Mihaljevec,46.3610933876,16.7238577184
i-o841,Moravice,45.4230051556,15.0161696611
i-o500,Graboštani,45.2804833542,16.5415177584
i-o805,Košare,45.2206049272,15.328849792
i-o802,Tounj,45.2506272046,15.3202446067
i-o570,Pešćenica,45.6145266466,16.1772302449
i-o804,Oštarije,45.234389955,15.2962805733
i-o741,Varaždin,46.3056022735,16.346725625
i-o730,Donji Lipovec,46.0479020713,16.1356665803
i-o801,Gornje Dubrave,45.2789739992,15.3074711624
i-o593,Carevdar,46.0654728333,16.6471036127
i-o442,Gaboš,45.3540353937,18.7431914652
i-o842,Brod Moravice,45.4649238425,14.9612177497
i-o940,Žitnić,43.8318033853,16.1457808994
i-o533,Ludina,45.6005568378,16.5696341146
i-o610,Brezovljani,45.9511813943,16.5679107956
i-o428,Vrbanja,44.9825039321,18.8851393794
i-o976,Hum u Istri,45.34383803,14.0729758572
i-o995,Vodnjan stajalište,44.9607166145,13.8557337023
i-o612,Cirkvena,45.940274984,16.6591302246
i-o988,Juršići,45.0250046932,13.8651610847
i-o939,Drniš,43.8637257472,16.1818519805
i-o649,Dragovci,45.2145591401,17.7063880901
i-o729,Zlatar Bistrica,46.0441446078,16.0813273553
i-o777,Novo Selo Rok,46.4296938969,16.4564559168
i-o528,Kutina,45.4748505749,16.7744892249
i-o702,Savski Marof,45.8720767976,15.7399963722
i-o621,Grginac,45.9093679926,16.8931100073
i-o426,Otok,45.1456359114,18.8719050573
i-o722,Žeinci,45.9763936742,15.8450427487
i-o656,Donja Vrijeska,45.6465184733,17.2725869328
i-o874,Josipdol,45.1973621588,15.2890915114
i-o647,Sulkovci,45.2590270269,17.7760218325
i-o444,Laslovo-Korođ,45.4144633138,18.7073214317
i-o844,Skrad,45.4253963086,14.902817548
i-o885,Lički Podhum,45.1326406018,15.3544637004
i-o755,Doliće,46.1718143963,15.8633103542
i-o867,Permani,45.41224,14.30317
i-o613,Rovišće,45.9320337469,16.7186714185
i-o794,Mrzlo Polje,45.4664500776,15.5359171467
i-o689,Sladojevci,45.7268859758,17.6388105463
i-o759,Stažnjevec,46.2417418206,16.174123427
i-o760,Ivanec,46.2314066573,16.1244049077
i-o752,Hromec,46.2068689139,15.80798734
i-o554,Brodski Stupnik,45.1605598346,17.79520272
i-o501,Majur,45.2573559332,16.5279788337
i-o666,Kukunjevac,45.4350811974,17.0828061193
i-o531,Voloder,45.5375742604,16.6579028571
i-o551,Sibinj,45.1809170789,17.9045374929
i-o746,Štrucljevo,46.0564878215,15.9117484291
i-o407,Ivankovo,45.2784122464,18.6674795808
i-o964,Split,43.5047301042,16.4429578016
i-o456,Darda,45.6338714258,18.6992656805
i-o544,Zapolje,45.2355921521,17.4628865981
i-o687,Nova Bukovica,45.662570601,17.7773111707
i-o673,Rasinja,46.2058966856,16.720662492
i-o677,Jalžabet,46.268477908,16.4717226132
