service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
i-tr101_44,20261005,20261011,0,0,0,0,1,0,0
i-tr101_45,20261012,20261018,0,0,0,0,1,0,0
i-tr101_46,20261019,20261025,0,0,0,0,1,0,0
i-tr101_47,20261026,20261101,0,0,0,0,1,0,0
i-tr101_48,20261102,20261108,0,0,0,0,1,0,0
i-tr101_49,20261109,20261115,0,0,0,0,1,0,0
i-tr101_5,20260105,20260111,0,0,0,0,1,0,0
i-tr101_50,20261116,20261122,0,0,0,0,1,0,0
i-tr101_51,20261123,20261129,0,0,0,0,1,0,0
i-tr101_52,20261130,20261206,0,0,0,0,1,0,0
i-tr101_53,20261207,20261213,0,0,0,0,1,0,0
i-tr101_6,20260112,20260118,0,0,0,0,1,0,0
i-tr101_7,20260119,20260125,0,0,0,0,1,0,0
i-tr101_8,20260126,20260201,0,0,0,0,1,0,0
i-tr101_9,20260202,20260208,0,0,0,0,1,0,0
i-tr1010_10,20260209,20260215,1,1,1,1,1,0,0
i-tr1010_11,20260216,20260222,1,1,1,1,1,0,0
i-tr1010_12,20260223,20260301,1,1,1,1,1,0,0
i-tr1010_13,20260302,20260308,1,1,1,1,1,0,0
i-tr1010_14,20260309,20260315,1,1,1,1,1,0,0
i-tr1010_15,20260316,20260322,1,1,1,1,1,0,0
i-tr1010_16,20260323,20260329,1,1,1,1,1,0,0
i-tr1010_17,20260330,20260405,1,1,1,1,1,0,0
i-tr1010_18,20260406,20260412,1,1,1,1,1,0,0
i-tr1010_19,20260413,20260419,1,1,1,1,1,0,0
i-tr1010_2,20251215,20251221,1,1,1,1,1,0,0
i-tr1010_20,20260420,20260426,1,1,1,1,1,0,0
i-tr1010_21,20260427,20260503,0,1,1,1,0,0,0
i-tr1010_22,20260504,20260510,1,1,1,1,1,0,0
i-tr1010_23,20260511,20260517,1,1,1,1,1,0,0
i-tr1010_24,20260518,20260524,1,1,1,1,1,0,0
i-tr1010_25,20260525,20260531,1,1,1,1,1,0,0
i-tr1010_26,20260601,20260607,1,1,1,1,1,0,0
i-tr1010_27,20260608,20260614,1,1,1,1,1,0,0
i-tr1010_28,20260615,20260621,1,1,1,1,1,0,0
i-tr1010_29,20260622,20260628,1,1,1,0,1,0,0
i-tr1010_3,20251222,20251228,1,1,1,0,0,0,0
i-tr1010_30,20260629,20260705,1,1,1,1,1,0,0
i-tr1010_31,20260706,20260712,1,1,1,1,1,0,0
i-tr1010_32,20260713,20260719,1,1,1,1,1,0,0
i-tr1010_33,20260720,20260726,1,1,1,1,1,0,0
i-tr1010_34,20260727,20260802,1,1,1,1,1,0,0
i-tr1010_35,20260803,20260809,1,1,1,1,1,0,0
i-tr1010_36,20260810,20260816,1,1,1,1,1,0,0
i-tr1010_37,20260817,20260823,1,1,1,1,1,0,0
i-tr1010_38,20260824,20260830,1,1,1,1,1,0,0
i-tr1010_39,20260831,20260906,1,1,1,1,1,0,0
i-tr1010_4,20251229,20260104,1,1,1,0,0,0,0
i-tr1010_40,20260907,20260913,1,1,1,1,1,0,0
i-tr1010_41,20260914,20260920,1,1,1,1,1,0,0
i-tr1010_42,20260921,20260927,1,1,1,1,1,0,0
i-tr1010_43,20260928,20261004,1,1,1,1,1,0,0
i-tr1010_44,20261005,20261011,1,1,1,1,1,0,0
i-tr1010_45,20261012,20261018,1,1,1,1,1,0,0
i-tr1010_46,20261019,20261025,1,1,1,1,1,0,0
i-tr1010_47,20261026,20261101,1,1,1,1,1,0,0
i-tr1010_48,20261102,20261108,1,1,1,1,1,0,0
i-tr1010_49,20261109,20261115,1,1,1,1,1,0,0
i-tr1010_5,20260105,20260111,1,1,1,1,1,0,0
i-tr1010_50,20261116,20261122,1,1,1,1,1,0,0
i-tr1010_51,20261123,20261129,1,1,1,1,1,0,0
i-tr1010_52,20261130,20261206,1,1,1,1,1,0,0
i-tr1010_53,20261207,20261213,1,1,1,1,1,0,0
i-tr1010_6,20260112,20260118,1,1,1,1,1,0,0
i-tr1010_7,20260119,20260125,1,1,1,1,1,0,0
i-tr1010_8,20260126,20260201,1,1,1,1,1,0,0
i-tr1010_9,20260202,20260208,1,1,1,1,1,0,0
i-tr1011_1,20251208,20251214,0,0,0,0,0,0,1
i-tr1011_10,20260209,20260215,1,1,1,1,1,1,1
i-tr1011_11,20260216,20260222,1,1,1,1,1,1,1
i-tr1011_12,20260223,20260301,1,1,1,1,1,1,1
i-tr1011_13,20260302,20260308,1,1,1,1,1,1,1
i-tr1011_14,20260309,20260315,1,1,1,1,1,1,1
i-tr1011_15,20260316,20260322,1,1,1,1,1,1,1
i-tr1011_16,20260323,20260329,1,1,1,1,1,1,1
i-tr1011_17,20260330,20260405,1,1,1,1,1,1,1
i-tr1011_18,20260406,20260412,1,1,1,1,1,1,1
i-tr1011_19,20260413,20260419,1,1,1,1,1,1,1
i-tr1011_2,20251215,20251221,1,1,1,1,1,1,1
i-tr1011_20,20260420,20260426,1,1,1,1,1,1,1
i-tr1011_21,20260427,20260503,1,1,1,1,1,1,1
i-tr1011_22,20260504,20260510,1,1,1,1,1,1,1
i-tr1011_23,20260511,20260517,1,1,1,1,1,1,1
i-tr1011_24,20260518,20260524,1,1,1,1,1,1,1
i-tr1011_25,20260525,20260531,1,1,1,1,1,1,1
i-tr1011_26,20260601,20260607,1,1,1,1,1,1,1
i-tr1011_27,20260608,20260614,1,1,1,1,1,1,1
i-tr1011_28,20260615,20260621,1,1,1,1,1,1,1
i-tr1011_29,20260622,20260628,1,1,1,1,1,1,1
i-tr1011_3,20251222,20251228,1,1,1,1,1,1,1
i-tr1011_30,20260629,20260705,1,1,1,1,1,1,1
i-tr1011_31,20260706,20260712,1,1,1,1,1,1,1
i-tr1011_32,20260713,20260719,1,1,1,1,1,1,1
i-tr1011_33,20260720,20260726,1,1,1,1,1,1,1
i-tr1011_34,20260727,20260802,1,1,1,1,1,1,1
i-tr1011_35,20260803,20260809,1,1,1,1,1,1,1
i-tr1011_36,20260810,20260816,1,1,1,1,1,1,1
i-tr1011_37,20260817,20260823,1,1,1,1,1,1,1
i-tr1011_38,20260824,20260830,1,1,1,1,1,1,1
i-tr1011_39,20260831,20260906,1,1,1,1,1,1,1
i-tr1011_4,20251229,20260104,1,1,1,1,1,1,1
i-tr1011_40,20260907,20260913,1,1,1,1,1,1,1
i-tr1011_41,20260914,20260920,1,1,1,1,1,1,1
i-tr1011_42,20260921,20260927,1,1,1,1,1,1,1
i-tr1011_43,20260928,20261004,1,1,1,1,1,1,1
i-tr1011_44,20261005,20261011,1,1,1,1,1,1,1
i-tr1011_45,20261012,20261018,1,1,1,1,1,1,1
i-tr1011_46,20261019,20261025,1,1,1,1,1,1,1
i-tr1011_47,20261026,20261101,1,1,1,1,1,1,1
i-tr1011_48,20261102,20261108,1,1,1,1,1,1,1
